frame_index,host_ts_ns,color_device_ts_ms,depth_device_ts_ms,fingertip_detected,fingertip_depth_valid,fingertip_depth_m,neighborhood_min_depth_m,neighborhood_max_depth_m,depth_reference_count,crop_x0,crop_y0
44,4635218056956,1789991184572.966,1789991184586.165,1,1,0.28229999286850216,0.27679999300744385,0.288499992711877,8,1183,479
45,4635388242975,1789991184803.3503,1789991184816.3838,1,1,0.28409999282303033,0.2778999929796555,0.28869999270682456,7,1180,479
46,4635498500283,1789991184836.2458,1789991184849.2559,1,1,0.28229999286850216,0.27759999298723415,0.2890999926967197,7,1204,479
47,4635674974201,1789991184836.2458,1789991185112.0786,1,1,0.28329999284324003,0.2779999929771293,0.2881999927194556,7,1204,479
48,4635701378471,1789991185066.3955,1789991185112.0786,1,1,0.28379999283060897,0.27819999297207687,0.28789999272703426,7,1203,482
49,4635767672171,1789991185099.2573,1789991185112.0786,1,1,0.2828999928533449,0.27749999298976036,0.2891999926941935,8,1220,485
50,4635949307761,1789991185099.2573,1789991185374.6345,1,1,0.2843999928154517,0.27829999296955066,0.28859999270935077,8,1226,488
51,4636027468816,1789991185362.0005,1789991185374.6345,1,1,0.2843999928154517,0.27829999296955066,0.28859999270935077,8,1226,488
52,4636270907400,1789991185628.0222,1789991185640.6482,1,1,0.28399999282555655,0.27829999296955066,0.28969999268156243,7,1283,498
53,4636417989572,1789991185827.6304,1789991185840.1218,1,1,0.28559999278513715,0.27899999295186717,0.2891999926941935,8,1289,499
54,4636516930069,1789991185860.8955,1789991185873.3638,1,1,0.2843999928154517,0.278599992961972,0.28969999268156243,7,1317,504
55,4636715750997,1789991186093.7307,1789991186106.0413,1,1,0.28619999276997987,0.27979999293165747,0.2893999926891411,8,1321,501
56,4636838282202,1789991186126.9897,1789991186139.278,1,1,0.2843999928154517,0.2786999929594458,0.2893999926891411,6,1343,497
57,4636916627117,1789991186126.9897,1789991186405.1426,1,1,0.28709999274724396,0.2794999929392361,0.28989999267651,8,1355,497
58,4636972595073,1789991186393.0337,1789991186405.1426,1,1,0.28719999274471775,0.27919999294681475,0.28969999268156243,8,1352,494
59,4637071188986,1789991186426.2974,1789991186438.3906,1,1,0.28399999282555655,0.2786999929594458,0.29029999266640516,8,1385,501
60,4637449294863,1789991186860.38,1789991186872.2295,1,1,0.28409999282303033,0.27919999294681475,0.29029999266640516,6,1411,499
61,4637525016876,1789991186893.7778,1789991186905.605,1,1,0.28309999284829246,0.2786999929594458,0.2900999926714576,7,1424,493
62,4637711615318,1789991187094.1406,1789991187105.831,1,1,0.2858999927775585,0.28079999290639535,0.29119999264366925,8,1423,492
63,4637773640589,1789991187127.5303,1789991187139.1985,1,1,0.28539999279018957,0.2803999929165002,0.2914999926360906,7,1401,481
64,4637931170967,1789991187361.2266,1789991187372.7358,1,1,0.29129999264114304,0.2892999926916673,0.2922999926158809,7,1395,472
65,4638006714988,1789991187394.6072,1789991187406.094,1,1,0.28539999279018957,0.2793999929417623,0.29209999262093334,7,1284,482
66,4638278929047,1789991187660.9233,1789991187672.189,1,1,0.2833999928407138,0.27739999299228657,0.29109999264619546,7,1224,484
67,4638416916839,1789991187902.4072,1789991187913.9448,1,1,0.2893999926891411,0.27839999296702445,0.2892999926916673,8,1219,480
68,4638510594872,1789991187936.942,1789991187948.4587,1,1,0.28139999289123807,0.2754999930402846,0.28949999268661486,7,1148,473
69,4638716308973,1789991187936.942,1789991188224.9084,1,1,0.28649999276240123,0.27679999300744385,0.28869999270682456,8,1142,470
70,4638789104248,1789991188213.5518,1789991188224.9084,1,1,0.28649999276240123,0.27679999300744385,0.28869999270682456,8,1143,470
71,4638952596334,1789991188456.07,1789991188501.9482,1,1,0.28729999274219153,0.27659999301249627,0.2881999927194556,8,1096,460
72,4639011980320,1789991188490.7524,1789991188501.9482,1,1,0.2795999929367099,0.27519999304786325,0.2881999927194556,7,1048,446
73,4639138775570,1789991188699.0085,1789991188709.6516,1,1,0.28479999280534685,0.2764999930150225,0.2883999927144032,8,1049,440
74,4639210574573,1789991188732.3997,1789991188743.0205,1,1,0.2794999929392361,0.2746999930604943,0.28859999270935077,7,1013,424
75,4639389620722,1789991188932.2085,1789991188942.4482,1,1,0.2802999929190264,0.2740999930756516,0.28779999272956047,7,1008,428
76,4639506297965,1789991188964.8118,1789991188975.0286,1,1,0.278599992961972,0.27279999310849234,0.28789999272703426,8,984,422
77,4639722299107,1789991189192.9268,1789991189202.9832,1,1,0.28059999291144777,0.2732999930958613,0.28799999272450805,8,987,424
78,4639837552439,1789991189225.4995,1789991189235.5332,1,1,0.2772999929948128,0.270599993164069,0.28709999274724396,8,951,424
79,4639918291710,1789991189225.4995,1789991189528.31,1,1,0.2834999928381876,0.27209999312617583,0.2867999927548226,8,951,419
80,4639996276913,1789991189518.483,1789991189528.31,1,1,0.2834999928381876,0.2721999931236496,0.28629999276745366,8,951,425
81,4640103237649,1789991189551.0176,1789991189560.822,1,1,0.27529999304533703,0.2667999932600651,0.28459999281039927,8,900,433
82,4640337756702,1789991189778.6543,1789991189853.2585,1,1,0.27819999297207687,0.26959999318933114,0.2844999928129255,8,902,425
83,4640390659534,1789991189811.1587,1789991189853.2585,1,1,0.2730999931009137,0.2665999932651175,0.2833999928407138,7,869,431
84,4640627626928,1789991190070.1514,1789991190079.5557,1,1,0.2715999931388069,0.265899993282801,0.28169999288365943,8,845,440
85,4640806610094,1789991190070.1514,1789991190337.9836,1,1,0.27179999313375447,0.2660999932777486,0.28079999290639535,7,848,429
86,4640855321510,1789991190296.4595,1789991190337.9836,1,1,0.27179999313375447,0.2660999932777486,0.28079999290639535,7,848,429
87,4640877332801,1789991190328.7656,1789991190337.9836,1,1,0.27209999312617583,0.26629999327269616,0.28069999290892156,7,848,432
88,4641121202691,1789991190522.4775,1789991190531.556,1,1,0.270599993164069,0.2649999933055369,0.27919999294681475,7,826,435
89,4641165291926,1789991190554.7422,1789991190563.7976,1,1,0.26799999322975054,0.26479999331058934,0.27819999297207687,8,795,448
90,4641241583829,1789991190748.2058,1789991190757.1218,1,1,0.26809999322722433,0.26319999335100874,0.2770999929998652,8,793,447
91,4641352199622,1789991190780.4536,1789991190789.6313,1,1,0.2667999932600651,0.26379999333585147,0.27659999301249627,7,768,454
92,4641587340470,1789991190979.9404,1789991190988.997,1,1,0.26889999320701463,0.2628999933585874,0.27599999302765355,7,766,454
93,4641809365796,1789991191013.237,1789991191221.9224,1,1,0.2666999932625913,0.2626999933636398,0.2754999930402846,7,737,452
94,4641845227066,1789991191246.319,1789991191288.4749,1,1,0.2675999932398554,0.26229999337374466,0.2748999930554419,7,737,452
95,4641959094740,1789991191446.1116,1789991191454.8577,1,1,0.2659999932802748,0.2602999934242689,0.2737999930832302,7,715,446
96,4642019218550,1789991191479.4111,1789991191488.1353,1,1,0.2633999933459563,0.25999999343184754,0.27209999312617583,7,694,447
97,4642170271804,1789991191645.9114,1789991191654.525,1,1,0.26069999341416406,0.26219999337627087,0.2698999931817525,5,696,446
