sample_index,host_ts_ns,fz_N
392,3707192248065,-2.113822044736832
393,3707193244040,-2.0950420447368323
394,3707194261350,-2.088888044736832
395,3707195280858,-2.076403044736832
396,3707196261521,-2.0639330447368316
397,3707197326555,-2.0577630447368307
398,3707198301134,-2.0453410447368316
399,3707199395464,-2.039122044736832
400,3707200520332,-2.026679044736831
401,3707201659155,-2.0141930447368317
402,3707202369319,-2.0017240447368323
403,3707203531592,-1.9955310447368309
404,3707204411721,-1.9892780447368317
405,3707205374954,-1.9830370447368306
406,3707206338314,-1.976845044736832
407,3707207372288,-1.970592044736831
408,3707208323196,-1.9580830447368314
409,3707209323521,-1.9581240447368309
410,3707210300258,-1.9456150447368312
411,3707211324694,-1.9392930447368322
412,3707212314027,-1.9330780447368312
413,3707213307620,-1.9203630447368312
414,3707214324451,-1.914079044736832
415,3707215300149,-1.901489044736831
416,3707216295525,-1.8951270447368316
417,3707217309206,-1.888706044736832
418,3707218316569,-1.895029044736832
419,3707219314162,-1.8822920447368308
420,3707220788190,-1.882224044736832
421,3707221605037,-1.8820740447368323
422,3707222296394,-1.8756900447368317
423,3707223359190,-1.8754920447368306
424,3707224308328,-1.8690870447368315
425,3707225302742,-1.8687900447368317
426,3707226298344,-1.8749460447368307
427,3707227348540,-1.8684580447368315
428,3707228341735,-1.8744540447368312
429,3707229282542,-1.8805880447368306
430,3707230336715,-1.8802210447368317
431,3707231306924,-1.8863200447368307
432,3707232331444,-1.8797630447368316
433,3707233474686,-1.8793750447368307
434,3707234334201,-1.8854040447368323
435,3707235306840,-1.8787780447368316
436,3707236383196,-1.8846230447368306
437,3707237359775,-1.896946044736831
438,3707238365174,-1.8966600447368318
439,3707239528769,-1.896267044736831
440,3707240374510,-1.9021500447368318
441,3707241366866,-1.9080510447368315
442,3707242371656,-1.9140580447368318
443,3707249557931,-1.9199580447368323
444,3707249603025,-1.9259660447368319
445,3707249617506,-1.9318670447368316
446,3707249627860,-1.9441890447368309
447,3707249635147,-1.9500900447368323
448,3707249642025,-1.956098044736832
449,3707249649333,-1.9621230447368312
450,3707250738608,-1.9617300447368322
451,3707252139345,-1.9678630447368306
452,3707252395766,-1.973764044736832
453,3707254357164,-1.973496044736832
454,3707254425238,-1.9795430447368307
455,3707256470958,-1.9792750447368324
456,3707256506716,-1.9854470447368318
457,3707257425092,-1.9851790447368316
458,3707258409368,-1.9912270447368314
459,3707259659023,-1.997420044736831
460,3707260401687,-1.997299044736831
461,3707261389888,-1.9907390447368307
462,3707262388879,-1.9969340447368307
463,3707263378799,-1.9967870447368323
464,3707264357318,-1.9968120447368314
465,3707265402626,-1.9903390447368317
466,3707266446750,-1.9966800447368307
467,3707267380832,-1.996581044736832
468,3707268400413,-1.9966290447368316
469,3707269364175,-1.9966770447368312
470,3707270349840,-1.9904100447368318
471,3707271400674,-1.9967740447368314
472,3707272435393,-1.9842150447368319
473,3707273410768,-1.9780940447368316
474,3707274417666,-1.9718980447368306
475,3707275421901,-1.9657990447368316
476,3707276414207,-1.965871044736831
477,3707277395546,-1.9535650447368322
478,3707278398766,-1.953684044736832
479,3707279389400,-1.9475870447368315
480,3707280399969,-1.941597044736831
481,3707281389245,-1.935505044736832
482,3707282402904,-1.9358180447368323
483,3707283396673,-1.9235350447368322
484,3707284438583,-1.9176150447368308
485,3707285410267,-1.9115230447368319
486,3707286426093,-1.9056630447368317
487,3707287406945,-1.9059340447368314
488,3707288426532,-1.9000620447368313
489,3707289404576,-1.887785044736832
490,3707290404261,-1.8881640447368309
491,3707291422094,-1.8759510447368317
492,3707292435040,-1.8700150447368316
493,3707293428699,-1.864101044736831
494,3707294429359,-1.8581640447368315
495,3707295419551,-1.8523360447368322
496,3707296425596,-1.8401060447368316
497,3707297685639,-1.8405330447368318
498,3707298417839,-1.834580044736832
499,3707299427387,-1.8287520447368308
500,3707300470383,-1.8290920447368322
501,3707301460206,-1.8231390447368323
502,3707302426888,-1.8172120447368307
503,3707303448654,-1.8174280447368307
504,3707304470742,-1.8178150447368306
505,3707305505910,-1.818117044736832
506,3707306464637,-1.8184190447368316
507,3707307518196,-1.818707044736831
508,3707308563670,-1.8251780447368322
509,3707309579696,-1.8318410447368318
510,3707310570265,-1.844665044736832
511,3707311567987,-1.844868044736831
512,3707320382769,-1.845070044736831
513,3707320438523,-1.8514420447368316
514,3707320443252,-1.8706060447368316
515,3707320446576,-1.8706620447368323
516,3707320449552,-1.8771190447368316
517,3707320452192,-1.8897820447368314
518,3707320455339,-1.9024850447368316
519,3707320458630,-1.9151870447368307
520,3707320777617,-1.9278300447368313
521,3707321818919,-1.9467480447368306
522,3707322857645,-1.9593680447368307
523,3707323684257,-1.9719240447368307
524,3707324530623,-1.9907900447368316
525,3707325552832,-2.0033450447368306
526,3707326593970,-2.028379044736832
527,3707327511105,-2.040977044736831
528,3707328615405,-2.0596960447368318
529,3707329541515,-2.078539044736832
530,3707330572353,-2.1035520447368317
531,3707331567487,-2.115972044736832
532,3707332731772,-2.1347680447368322
533,3707333565244,-2.1534820447368315
534,3707334622266,-2.172148044736831
535,3707344368032,-2.190862044736832
536,3707344400882,-2.2031520447368322
537,3707344410241,-2.2219430447368307
538,3707344417221,-2.2467940447368306
539,3707344423089,-2.2654770447368318
540,3707344428568,-2.2779690447368317
541,3707344434252,-2.290336044736831
542,3707344441164,-2.321644044736832
543,3707344454442,-2.333856044736832
544,3707344641793,-2.3463650447368316
545,3707345747461,-2.358702044736832
546,3707346615596,-2.3774180447368316
547,3707347633301,-2.3897710447368308
548,3707348576066,-2.402125044736831
549,3707349559088,-2.420794044736832
550,3707350624045,-2.439539044736831
551,3707351649726,-2.4456160447368323
552,3707352591590,-2.4518180447368323
553,3707353589735,-2.4642870447368317
554,3707354699923,-2.470441044736832
555,3707355762220,-2.4702200447368323
556,3707356694847,-2.482767044736832
557,3707357734147,-2.489007044736832
558,3707358667835,-2.501493044736831
559,3707359649833,-2.501372044736831
560,3707360725489,-2.514004044736831
561,3707361677109,-2.5076660447368315
562,3707362687477,-2.5202990447368308
563,3707363640118,-2.520401044736831
564,3707364759856,-2.526694044736832
565,3707365626905,-2.520442044736832
566,3707366620147,-2.533221044736832
567,3707367586702,-2.5333450447368318
568,3707368628455,-2.5397240447368308
569,3707369596726,-2.5336790447368323
570,3707370616666,-2.533804044736831
571,3707371624090,-2.5340740447368315
572,3707372614192,-2.528040044736832
573,3707373630726,-2.5283100447368323
574,3707374640631,-2.522164044736831
575,3707375644714,-2.5226290447368314
576,3707376608226,-2.5166070447368316
577,3707378024633,-2.5170080447368317
578,3707378635184,-2.5111030447368314
579,3707379646593,-2.511526044736831
580,3707380695908,-2.5119490447368307
581,3707381661109,-2.512295044736831
582,3707382625951,-2.5064520447368324
583,3707383652801,-2.5006890447368306
584,3707384657286,-2.5012080447368312
585,3707385647696,-2.501809044736831
